№ п/п,Наименование / ФИО,Тип субъекта,Категория,ОГРН,ИНН,Основной вид деятельности,Регион,Район,Город,Населенный пункт,Вновь созданный,Дата включения в реестр,Дата исключения из реестра,Телефон,E-mail,WWW,Наличие лицензий,"Наличие заключенных договоров, контрактов","Производство инновационной, высокотехнологичной продукции",Участие в программах партнерства,Является социальным предприятием,Среднесписочная численность работников за предшествующий календарный год
6567,АЛЕКСЕЕВ АЛЕКСЕЙ АНАТОЛЬЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318169000196420,165045598214,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),,ГОРОД НАБЕРЕЖНЫЕ ЧЕЛНЫ,,Нет,10.11.2018,10.10.2021,,,,Нет,Нет,Нет,Нет,Нет,
6568,АЛЕКСЕЕВ АЛЕКСЕЙ АНАТОЛЬЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,312165035500057,165045598214,41.2 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),,ГОРОД НАБЕРЕЖНЫЕ ЧЕЛНЫ,,Нет,01.08.2016,10.03.2018,,,,Нет,Нет,Нет,Нет,Нет,
6569,АЛЕКСЕЕВ АЛЕКСЕЙ ВИКТОРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,317183200040938,183402310523,41.20 Строительство жилых и нежилых зданий,18 - Удмуртская Республика,,ГОРОД ИЖЕВСК,,Нет,10.07.2017,10.03.2018,,,,Нет,Нет,Нет,Нет,Нет,
6570,АЛЕКСЕЕВ АЛЕКСЕЙ ВИКТОРОВИЧ,Индивидуальный предприниматель,Микропредприятие,316920400051862,920159467614,41.20 Строительство жилых и нежилых зданий,91 - Республика Крым,Сакский Район,,Село Абрикосовка,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,
6571,АЛЕКСЕЕВ АЛЕКСЕЙ ВИКТОРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320784700052822,781627241800,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,Нет,10.03.2020,10.04.2021,,,,Нет,Нет,Нет,Нет,Нет,
6572,АЛЕКСЕЕВ АЛЕКСЕЙ ВИКТОРОВИЧ,Индивидуальный предприниматель,Микропредприятие,322547600113050,524809756027,41.20 Строительство жилых и нежилых зданий,54 - Новосибирская область,,г Новосибирск,,Нет,10.09.2022,,,,,Нет,Нет,Нет,Нет,Нет,
6573,АЛЕКСЕЕВ АЛЕКСЕЙ ВИКТОРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,319482700032428,480208421641,41.20 Строительство жилых и нежилых зданий,48 - Липецкая область,ГРЯЗИНСКИЙ РАЙОН,,СЕЛО ФАЩЕВКА,Нет,10.07.2019,10.08.2020,,,,Нет,Нет,Нет,Нет,Нет,
6574,АЛЕКСЕЕВ АЛЕКСЕЙ ВИТАЛЬЕВИЧ,Индивидуальный предприниматель,Микропредприятие,317352500066486,350601198108,41.20 Строительство жилых и нежилых зданий,35 - Вологодская область,УСТЬ-КУБИНСКИЙ РАЙОН,,СЕЛО УСТЬЕ,Нет,10.01.2018,,,,,Нет,Нет,Нет,Нет,Нет,
6575,АЛЕКСЕЕВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ,Индивидуальный предприниматель,Микропредприятие,321527500064821,526109838221,41.20 Строительство жилых и нежилых зданий,52 - Нижегородская область,,г Нижний Новгород,,Нет,10.04.2023,,,,,Нет,Нет,Нет,Нет,Нет,
6576,АЛЕКСЕЕВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ,Индивидуальный предприниматель,Микропредприятие,316028000118610,20503734508,41.20 Строительство жилых и нежилых зданий,02 - Республика Башкортостан,Уфимский Район,,Село Нижегородка,Нет,10.02.2024,,,,,Нет,Нет,Нет,Нет,Нет,
6577,АЛЕКСЕЕВ АЛЕКСЕЙ ВЛАДИСЛАВОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,322665800156700,664302275638,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,Каменский р-н,,с Травянское,Нет,10.09.2022,10.07.2023,,,,Нет,Нет,Нет,Нет,Нет,
6578,АЛЕКСЕЕВ АЛЕКСЕЙ ГЕННАДЬЕВИЧ,Индивидуальный предприниматель,Микропредприятие,324665800062641,661223394958,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,Каменский р-н,,пгт Мартюш,Да,10.04.2024,,,,,Нет,Нет,Нет,Нет,Нет,
6579,АЛЕКСЕЕВ АЛЕКСЕЙ ЛЕОНИДОВИЧ,Индивидуальный предприниматель,Микропредприятие,321144700022034,142200054245,41.20 Строительство жилых и нежилых зданий,14 - Республика Саха (Якутия),Оленекский эвенкийский национальный у,,с Оленек,Нет,10.05.2021,,,,,Нет,Нет,Нет,Нет,Нет,
6580,АЛЕКСЕЕВ АЛЕКСЕЙ МИХАЙЛОВИЧ,Индивидуальный предприниматель,Микропредприятие,324290000010232,290120360181,41.20 Строительство жилых и нежилых зданий,29 - Архангельская область,,г Архангельск,,Да,10.04.2024,,,,,Нет,Нет,Нет,Нет,Нет,
6581,АЛЕКСЕЕВ АЛЕКСЕЙ МИХАЙЛОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,319673300005280,670300827000,41.20 Строительство жилых и нежилых зданий,67 - Смоленская область,РУДНЯНСКИЙ РАЙОН,ГОРОД РУДНЯ,,Нет,10.03.2019,10.01.2020,,,,Нет,Нет,Нет,Нет,Нет,
6582,АЛЕКСЕЕВ АЛЕКСЕЙ НИКОЛАЕВИЧ,Индивидуальный предприниматель,Микропредприятие,319332800029230,330300808269,41.20 Строительство жилых и нежилых зданий,33 - Владимирская область,,Город Владимир,,Нет,10.06.2019,,,,,Нет,Нет,Нет,Нет,Нет,
6583,АЛЕКСЕЕВ АЛЕКСЕЙ НИКОЛАЕВИЧ,Индивидуальный предприниматель,Микропредприятие,318344300091784,344806280788,41.20 Строительство жилых и нежилых зданий,34 - Волгоградская область,,ГОРОД ВОЛГОГРАД,,Нет,10.09.2018,,,,,Нет,Нет,Нет,Нет,Нет,
6584,АЛЕКСЕЕВ АЛЕКСЕЙ НИКОЛАЕВИЧ,Индивидуальный предприниматель,Микропредприятие,318762700071262,762001181897,41.20 Строительство жилых и нежилых зданий,76 - Ярославская область,НЕКОУЗСКИЙ РАЙОН,,ПОСЕЛОК ОКТЯБРЬ,Нет,10.12.2018,,,,,Нет,Нет,Нет,Нет,Нет,
6585,АЛЕКСЕЕВ АЛЕКСЕЙ ПАВЛОВИЧ,Индивидуальный предприниматель,Микропредприятие,323470400120240,780539208506,41.20 Строительство жилых и нежилых зданий,47 - Ленинградская область,Ломоносовский р-н,,д Рюмки,Да,10.12.2023,,,,,Нет,Нет,Нет,Нет,Нет,
6586,АЛЕКСЕЕВ АЛЕКСЕЙ ПАВЛОВИЧ,Индивидуальный предприниматель,Микропредприятие,320213000036443,210800240701,41.20 Строительство жилых и нежилых зданий,21 - Чувашская Республика - Чувашия,КОМСОМОЛЬСКИЙ РАЙОН,,ДЕРЕВНЯ ПОДЛЕСНЫЕ ЧУРАЧИКИ,Нет,10.08.2021,,,,,Нет,Нет,Нет,Нет,Нет,
6587,Алексеев Алексей Панфилович,Индивидуальный предприниматель,Микропредприятие,309141916000029,142400220588,41.2 Строительство жилых и нежилых зданий,14 - Республика Саха (Якутия),Сунтарский Улус,,Село Тюбяй,Нет,10.08.2020,,,,,Нет,Нет,Нет,Нет,Нет,
6588,АЛЕКСЕЕВ АЛЕКСЕЙ ПЕТРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320631300062765,631404715717,41.20 Строительство жилых и нежилых зданий,63 - Самарская область,,ГОРОД САМАРА,,Нет,10.07.2020,10.04.2021,,,,Нет,Нет,Нет,Нет,Нет,
6589,АЛЕКСЕЕВ АЛЕКСЕЙ СЕРГЕЕВИЧ,Индивидуальный предприниматель,Микропредприятие,323700000020595,860208851064,41.20 Строительство жилых и нежилых зданий,70 - Томская область,,г Томск,,Да,10.06.2023,,,,,Нет,Нет,Нет,Нет,Нет,
6590,АЛЕКСЕЕВ АЛЕКСЕЙ ЮРЬЕВИЧ,Индивидуальный предприниматель,Микропредприятие,322645700055598,645408438507,41.10 Разработка строительных проектов,64 - Саратовская область,,г Саратов,,Нет,10.08.2023,,,,,Нет,Нет,Нет,Нет,Нет,
6591,АЛЕКСЕЕВ АЛЕКСЕЙ ЮРЬЕВИЧ,Индивидуальный предприниматель,Микропредприятие,321213000053931,211902089547,41.20 Строительство жилых и нежилых зданий,21 - Чувашская Республика - Чувашия,,г Чебоксары,,Нет,10.11.2021,,,,,Нет,Нет,Нет,Нет,Нет,
6592,АЛЕКСЕЕВ АЛЕКСЕЙ ЮРЬЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,311645422100026,645408438507,41.2 Строительство жилых и нежилых зданий,64 - Саратовская область,,ГОРОД САРАТОВ,,Нет,10.01.2021,10.10.2021,,,,Нет,Нет,Нет,Нет,Нет,
6593,АЛЕКСЕЕВ АЛЕКСЕЙ ЮРЬЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318332800062921,332705349218,41.20 Строительство жилых и нежилых зданий,33 - Владимирская область,,ГОРОД ВЛАДИМИР,,Нет,10.11.2018,10.08.2019,,,,Нет,Нет,Нет,Нет,Нет,
